Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
758.1	0.063004	0.10579	2.7985	0	0	0	0.42811	2.8708	1.9424	4.7035
761.45	0.0032519	0.15896	4.3763	0	0	0	0.036354	1.1082	1.1245	3.218
764.8	0	0.23678	12.427	0	0	0	0.011713	0.4453	1.189	2.6236
768.15	0	0.2374	13.052	0	0	0	0.00083648	0.78367	1.5259	2.2421
771.5	0.08013	0.47314	6.0604	0	0	0	0	0.28904	0.59333	2.6464
774.85	0.06556	0.45285	4.3723	0	0	0	0	0.28302	0.516	1.7335
778.2	0.087038	0.44704	2.3608	0	0.051292	0.025536	0	0.37115	0.5022	1.8596
781.55	0.41831	0.52675	3.1215	0	0.062203	0.030968	0	1.2321	0.31604	1.6748
784.9	0.16426	0.8268	1.599	0	0.018956	0.0094371	0	0.47357	0.040378	2.268
788.25	1.5041	1.5197	3.0359	0	0.036786	0.059092	0	0.54647	0.13289	2.4441
791.6	1.1411	1.2921	3.4591	0	0.04782	0.087297	0.0045981	0.41457	0.10082	2.4861
794.95	0	0.32164	1.8089	0	0.015841	0.032868	0.12406	0	0	2.1338
798.3	0	0.117	1.4806	0	0.014519	0.029341	0.5294	0	0	1.6234
801.65	0	0.098717	1.7526	0.031168	0.046719	0.053435	0.70602	0	0	1.293
805	0	0.059921	2.0037	0.16951	0.061879	0.040144	0.64576	0	0	0.84244
808.35	0	0.11887	1.0843	0.22649	0.093336	0.053399	0.60584	0	0	1.0737
811.7	0	0.061552	0.93565	0.11844	0.30853	0.11625	0.59562	0	0	0.85609
815.05	0	0.042703	0.66687	0.040358	0.42805	0.23273	0.56885	0	0	0.63099
818.4	0	0.031527	1.1483	0.035146	0.19473	0.10294	0.54058	0	0	0.9826
821.75	0	0.07287	1.5066	0.028002	1.8651	0.032691	0.4916	0	0	0.91683
825.1	0	0.1221	1.0275	0.025637	0.59116	0.015216	0.33511	0	0	0.92364
828.45	0	0.04622	1.0623	0.025754	0.52703	0.0096549	1.5911	0	0	0.51511
831.8	0	0.73242	0.84865	0.0099255	0.34021	0.0079264	4.4217	0	0	0.68174
835.15	0	0.43943	0.17984	0.0044538	0.18415	0.0042656	0.56502	0	0	0.63946
838.5	0	2.2367	0.11889	0	0.057398	0.044649	0.28577	0	0	0.95564
841.85	0	1.2784	0.025774	0	0.15635	0.98474	0.27647	0	0	0.48204
845.2	0	1.0043	0.025028	0	0.029848	0.070767	0.27247	0	0	0.60391
848.55	0	1.2432	0.016146	0	0.060609	0.1021	0.76541	0	0	0.4593
851.9	0	1.8035	0.034663	0	0.031879	0.00036671	1.3935	0	0	0.69322
855.25	0	0.84304	0.028168	0	0.016752	0.00050227	1.7527	0	0	0.73538
858.6	0	1.3232	0.017166	0	0.030365	0.00090469	2.0558	0	0	0.77112
861.95	0	0.84921	0.0057016	0	0.031071	0.0016566	0.60997	0	0	0.87395
865.3	0	0.57292	0.0022117	0	0.031893	0.0070651	0.71067	0	0	0.6969
868.65	0	0.61987	0.00033108	0	0.033124	0.0077817	0.32813	0	0	0.70357
872	0	0.47089	0	0	0.076639	0.0028936	0.21739	0	0	0.7584
875.35	0	0.44044	0	0.00073019	0.052607	0.00072994	0.16699	0	0	0.92496
