Day	Cyclopoids	Calanoid_copepods	Rotifers	Protozoa	Nanophytoplankton	Picophytoplankton	Filamentous_diatoms	Ostracods	Harpacticoids 	Bacteria	nitrite	nitrate	ammonium	nitrogen	phosphorus	
643	0.75868	0.00057333	0	0	0.24894	0.0077815	2.2911	0	0.1848	0.773	0.8	0.99	5.45	7.24	1.39
650	0.03282	0	0.00372	0	0.2832	0.0019455	0.36683	0	1.056	0.528	0.35	0.58	1.8	2.73	0.16
657	0.4377	0.00086	0.00186	0	0.99907	0.0038936	0.080297	0	1.32	0.477	0.45	5.85	2.85	9.15	1.16
664	0.30846	0	0.00682	0	0.38057	0.015625	0.1554	0	2.784	0.66	0.4	2.07	3.45	5.92	0.43
671	0.1	0	0	3.8595	0.24885	0.0019531	5.1637	0	0.192	0.538	0.94	1.71	9	11.65	2.73
678	0.10376	0	0	2.7714	20.087	0.0010604	1.554	0.020952	0.58	0.515	0.65	1.29	2.05	3.99	1.72
685	0.771	0	0	0.4075	7.9687	0.00097273	0.059822	0.00558	0.348	1.219	0.37	1.13	1.15	2.65	0.69
692	0	0	0	0	7.9526	0.00096752	7.4394	0	0	1.522	0.71	3.63	2.6	6.94	1.5
699	0	0	0	0	0	0	0.14159	0	0	1.384	0.43	0.63	2	3.06	2.3
705	0	0	0	0	0	0	0.8341	0	0	1.415	0.14	0.55	20.15	20.84	8.28
712	0	0.093176	0.16899	0	0	0	0.8341	0	0	4.273	0.95	1.72	8.1	10.77	9.28
720	0	0.46758	1.8806	0.3895	0	0	0.22644	0	0	2.923	0.84	1.51	6.55	8.9	11.99
727	0.3252	0.5216	12.321	0.053714	0.18171	0.017986	0.42535	1.0827	0.78	2.171	NaN	NaN	NaN	NaN	NaN
734	0.0966	0.66124	7.8933	0	0.24684	0.12491	0.02402	1.6365	1.92	1.65	0.78	0.15	8.1	9.03	11.84
741	0.12792	0.31404	5.648	0	0.082294	0	1.1313	0.83808	3.672	3.538	0.51	0.93	5.7	7.14	14.97
748	0.6476	0.3533	1.5414	0.00713	0.01599	0	1.776	0.873	3.19	7.598	0.93	0.55	5.5	6.98	15.2
755	0.06312	0.25238	1.1365	0	0	0	1.332	0.45252	1.236	3.218	0.76	0	5.5	6.26	11.73
762	0	0.17	4.812	0	0	0	0.0222	0.9123	1.08	3.045	0.87	0.81	2.9	4.58	11.7
769	0	0.2374	13.075	0	0	0	0	0.8286	1.56	2.214	1.37	0.06	8.9	10.33	0.18
776	0.0603	0.44304	4.0038	0	0	0	0	0.30828	0.516	1.496	1.93	0	11.65	13.58	0.27
783	0.539	0.60996	3.56	0	0.062203	0.030968	0	1.554	0.19	1.563	2.13	0	4.65	6.78	0.16
790	2.5353	1.7678	4.6103	0	0.062006	0.099605	0	0.92112	0.224	2.353	NaN	NaN	NaN	NaN	NaN
797	0	0.1038	1.552	0	0.0077511	0.0076478	0.333	0	0	1.629	2.05	2.66	0.07	4.78	0.07
804	0	0.034	2.2887	0.1222	0.061915	0.039196	0.666	0	0	0.753	1.89	0	7.25	9.14	4.91
811	0	0.06699	1.012	0.14379	0.24985	0.08642	0.5994	0	0	0.934	0.25	0.59	1.49	2.33	3.3
818	0	0.0306	1.0848	0.03605	0.10303	0.11472	0.5439	0	0	0.986	0.37	0	7.1	7.47	0.42
825	0	0.12243	1.0273	0.025635	0.59425	0.015486	0.33336	0	0	0.925	0.07	1.45	3	4.52	0.79
832	0	0.73762	0.82972	0.0094	0.33006	0.0077817	4.44	0	0	0.683	NaN	NaN	NaN	NaN	NaN
838	0	2.2736	0.13148	0	0.052936	0.0022582	0.2886	0	0	0.977	0.45	0.62	10.05	11.12	0.22
845	0	1.0032	0.025128	0	0.029615	0.07053	0.26986	0	0	0.605	0.59	0.07	15.95	16.61	0.32
852	0	1.8048	0.034725	0	0.03125	3.03e-05	1.4074	0	0	0.696	NaN	NaN	NaN	NaN	NaN
859	0	1.3527	0.015828	0	0.031099	0.00096372	2.0635	0	0	0.777	0.69	0.87	11.25	12.81	0.15
866	0	0.56288	0.00186	0	0.032223	0.0077816	0.7746	0	0	0.666	0.68	15.18	14.12	29.98	0.21
873	0	0.41156	0	0	0.091279	0.0010451	0.23492	0	0	0.778	0.41	2.6	2.75	5.76	1.98
880	0	0.37459	0	0.0031333	0.0062252	0.0002222	0.10794	0	0	0.943	0.5	1.26	2.95	4.71	1.43
887	0	0.15962	0.00558	0.00232	0.0071408	6.89e-05	0.041292	0	0	1.249	0.42	1.79	2.75	4.96	1.26
894	0	0.14398	0.00372	0.21485	0.012939	0.00074385	0.069841	0	0	0.821	0.37	1.84	3.5	5.71	1
901	0	0.43127	0.0048825	0.1175	0.062253	0.0020977	0.1221	0	0	0.995	0.22	1.01	4.875	6.105	0.9
908	0	0.28582	0.0093	0.14688	0.061767	0.00015449	0.055567	0	0	0.86	0.73	1.01	6.25	7.99	2.31
915	0	0.68952	0.00408	0.00055	0.015563	0.0078125	0.012698	0	0	1.496	0.35	0.57	1.75	2.67	0.78
922	0	0.68866	0.1227	0	0.12396	0.013428	0.11744	0	0	2.249	0.58	2.41	2.05	5.04	0.74
929	0	0.80692	0.05262	0	0.24934	0.0019367	0.26351	0	0	0.986	0.37	0.73	0.75	1.85	0.34
936	0	0.35482	0.00186	0.0003875	0.0019378	7.57e-06	0.42859	0	0	0.743	0.32	0.37	1.15	1.84	0.33
943	0	1.0881	0.00093	0.025635	0.0039001	1.54e-05	1.4857	0	0	0.5	0.35	1.03	4.25	5.63	0.88
950	0	0.39082	0	0	0.49607	0.0010451	0.25308	0	0	0.9988	0.46	0.66	5.9	7.02	1
957	0	1.6258	0.0078	0	1.9928	0.030991	0.888	0	0	1.747	0.42	1.08	3.95	5.45	1.01
964	0	1.8731	0.01116	0	3.9709	0.061767	0.0222	0	0	1.702	0.41	1.37	3.55	5.33	1.13
971	0	3.5331	0.035805	0	0.014884	0.0077209	0	0	0	1.322	0.98	1.93	6.6	9.51	1.23
978	0	3.0455	0.013175	0	0.0029905	0.00061183	0	0	0	1.816	0.64	3.05	6.1	9.79	1.34
985	0	4.1324	0	0	0.0019454	0.0077209	0	0	0	1.185	1.55	1.9	6.15	9.6	3.3
992	0	2.7395	0	0	0.031005	0.086994	0	0	0	1.181	0.24	4.62	6.85	11.71	2.72
999	0	3.0004	0	0	0.019774	0.31739	0	0	0	1.652	0.84	2.23	41.4	44.47	14.66
1007	0	2.846	0	0	0.12444	1.2109	0	0	0	0.868	0.72	2.64	4.3	7.66	3.99
1013	0	2.7089	0.00279	0	0.24992	0.98683	0.00222	0	0	0.977	0.48	0	3.15	3.63	4.48
1020	0	8.9466	0.00465	0.015	0.015471	0.99307	0.045688	0.13038	0.012	1.083	0.51	1.72	3.3	5.53	7.04
1027	0.05	9.0242	0.00984	0.001	0.0038734	0.030858	0.0047804	0.3558	0	1.086	0.5	4.7	6.25	11.45	3.09
1034	0.20294	3.3462	0.07902	0.0023333	0.0079734	0.19911	0.012654	0	0	1.019	NaN	NaN	4.8	NaN	1.56
1041	0.26654	1.5621	0.01878	0.061	0.030883	0.12455	0.16134	0.39816	0	0.937	NaN	NaN	NaN	NaN	NaN
1048	0	0.5366	0.00186	0.006	0.02073	0.049802	0.16765	0.17976	0.06	0.784	0.49	4.69	1	6.18	1.03
1056	0.00258	0.3559	0.00744	0	0.015422	0.062499	1.6193	0.0624	0.076	1.063	0.27	2.05	2.75	5.07	0.45
1062	0.00344	0.0484	0	0	0.0015947	0.24774	0.069841	0	0.276	0.882	0.29	2.3	1.75	4.34	0.57
181	0.035948	0.32528	0.13265	NaN	0.0018	7.8485	0	0.004092	0	0.5605	15.39	19.77	4.85	40.01	26.8
